id,score,review,date_added,medico_id,usuario_id
1,4,nHKFFMdZqWwuJWvRjIfbPUMKcXwUpLOcZVvxMQqchcRScMiYVKkBYlefMPx zntuZjuynjwZSseovRIhPhW PAySMpxoOCqLLDOX,2023-09-26 13:32:00.286194,19,184
2,5,gEdLbYfchMAOlBxAro fUjUdYIXRPwOlnhoqjUvPcnhNfjaMmzQedddZoubPeOkwOPgYBjj etEWuzaQFSvJJZwxbesxUOpCPEbg,2023-09-26 13:32:00.306195,2,126
3,4,xTGwEAAckwloGnfUeEESLNXn yWLfYpLtiFjQQZsnLkspjcMTFXbAwUvYRbznhnZRnZMqOxeJLYPgSmipiZEwWruURCHyRXdFtbf,2023-09-26 13:32:00.329371,13,183
4,1,CjOQfdaUiLluEDQHMxcJgtTxkkTGGkohdVcdHQHqQxerSmBlujKltQIZiBnIBVerjtoIZcnCUpnsXRpW paukQDbSGjJiwCtOLfz,2023-09-26 13:32:00.362858,48,208
5,1,KYJRufRRAlNbRQTPNWc XymGJQHSlQnQesNpgNNAtQNXEgoiXHkZPjHaQUwbnHPV RtUIJBrvijnKouWgJpHntaVEiFugTMFsSeG,2023-09-26 13:32:00.388224,16,249
6,2,guDWoYIrVbB LfsgIwjHqMMulqECZPJYRHFQjFtpEMencamhCaRmNfBIrhNeqirBUjRqTfVQqcQFDQVHNmrmEcIcCbIPyjFvjhkB,2023-09-26 13:32:00.419045,41,137
7,4,fsKtvwSOZSBFjEPLZmMlboYamfejrhpjrVsjDTWelnmBQCncMubMxvsInlQJjaGlmAM AZvHuOCqNcwhRlTcyyJouexBZdIAOwxo,2023-09-26 13:32:00.448073,41,81
8,5,rCElNO TrmGQvGmMzNzFSbFQ yfSbzFbjPjphaDmDWiweEsivfdrbwZaR fskYIVjiyhaeAwmkSzApuNAZVHKejyVkH hxSzPkBs,2023-09-26 13:32:00.472044,9,146
9,3,wMuyxCGqdwgNgyWPBRxAqFLNjrbQNUHCMouDlTLWvyrkiIhTKJbBLYUH KFTNl bdJeceimBaaXRsThOfhqrud gCyiwBjUNQNvp,2023-09-26 13:32:00.492047,31,13
10,3,hlzWsglmvbPZAsTftxmuGWQutqpu rOLdkLeMypCzqiLbUNBfDjIGNcQuWcjvERanmMGKKwrpgc rbLWr mGNhcoGceZToLTfohF,2023-09-26 13:32:00.516055,15,55
11,1,zlAfxMkJDLpaTAomQCJiJUWpwPlkVomjcn mVKzwDFcokcRudmKnbLpbVGlCwjKjHMYdmqdPVvhHPhvEiFNEVYfaUeefyLor TSE,2023-09-26 13:32:00.553665,14,223
